اسم_المدرسة,المنطقة_الإدارية,الإدارة_التعليمية,المكتب_التعليمي,السلطة,نوع_التعليم,الجنس,نوع_الاختبار,تخصص_الاختبار,متوسط_أداء_الطلبة_في_المدرسة,ترتيب_المدرسة_على_مستوى_المدارس
ثانوية الحشف للبنات - مقررات,عسير,إدارة التعليم بمحافظة محايل عسير,محايل,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.824742,2110
ثانوية ثجر والمحمدية بثار - مقررات,نجران,الإدارة العامة للتعليم بمنطقة نجران,حبونا,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.756756,2111
ثانوية الحمى - مقررات,جازان,إدارة التعليم بمحافظة صبيا,مكتب التعليم بضمد,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.706521,2112
ثانوية المخشلية - مقررات,جازان,الإدارة العامة للتعليم بمنطقة جازان,مكتب التعليم بأحد المسارحة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.688741,2113
أم عمار (المجيصة ) - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الحائط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.680851,2114
ثانوية الجانبة بالحشر - مقررات,جازان,إدارة التعليم بمحافظة صبيا,مكتب التعليم بالداير,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.60606,2115
ثانوية الخبراية - مقررات,جازان,الإدارة العامة للتعليم بمنطقة جازان,مكتب التعليم بالعارضة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.528239,2116
مجمع درة الهاشمية ( ثانوي ) بالحريضة - مقررات,عسير,إدارة التعليم بمحافظة رجال ألمع,مكتب رجال المع,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.515,2117
ثانوية فيضة أثقب - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الحائط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.513157,2118
الثانوية الخامسة عشر بالقريات - مقررات,الجوف,إدارة التعليم بمحافظة القريات,القريات,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.509803,2119
ثانوية الحصاة - مقررات,الرياض,إدارة التعليم بمحافظة القويعية,مكتب التعليم بالحصاة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.420454,2120
ثانوية مربه السفلى - مقررات,عسير,الإدارة العامة للتعليم بمنطقة عسير,مكتب التعليم بأبها,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.414285,2121
الثانوية التاسعة بالقريات (نظام مقررات ),الجوف,إدارة التعليم بمحافظة القريات,القريات,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.387931,2122
ثانوية الفروخية - مقررات,مكة المكرمة,إدارة التعليم بمحافظة الليث,ادارة الليث,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.382978,2123
ثانوية تعليم الكبيرات بصبيا - مقررات,جازان,إدارة التعليم بمحافظة صبيا,مكتب التعليم بصبيا,حكومي,تعليم الكبار بنات,بنات,قدرات,علمي,59.380952,2124
الثانوية الأولى بامباري - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم في محافظة عقلة الصقور,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.333333,2125
ثانوية الوديعة - مقررات,نجران,إدارة التعليم بمحافظة شرورة,مكتب التعليم بشرورة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.31472,2126
ثانوية أبو طلح في محافظة النبهانيه - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم بمحافظة النبهانية,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.295454,2127
الثانوية العاشرة بعرعر-بنات - مقررات,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,مكتب  التعليم بمنطقة الحدود الشمالية,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.23224,2128
الثانوية الأولى بحويمضة - مقررات,الرياض,إدارة التعليم بمحافظة المجمعة,المجمعة,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.190476,2129
ثانوية السارة - مقررات,جازان,إدارة التعليم بمحافظة صبيا,مكتب التعليم بالداير,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.157894,2130
ثانوية روض بن هادي - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الحائط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.142857,2131
ثانوية الزرق - مقررات,عسير,إدارة التعليم بمحافظة بيشة,تثليث,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.139534,2132
ثانوية الردحة - مقررات,جازان,إدارة التعليم بمحافظة صبيا,مكتب التعليم بالدرب,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.083333,2133
مدرسة أم المؤمنين زينب الأسدية بانبوان,حائل,الإدارة العامة للتعليم بمنطقة حائل,الشملي,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.076923,2134
ثانوية الشويمس - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الحائط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,59.064516,2135
ثانوية شغب ضباء - مقررات,تبوك,الإدارة العامة للتعليم بمنطقة تبوك,مركز اشراف ضباء,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.90909,2136
ثانوية أبوراكة بالوجه - مقررات,تبوك,الإدارة العامة للتعليم بمنطقة تبوك,مركز اشراف الوجه,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.877192,2137
المدرسة الثانوية الأولى (مقررات) للبنات بطبرجل,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,مكتب التعليم بطبرجل,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.793248,2138
المدرسة الثانوية الثانية (مقررات) للبنات بطبرجل,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,مكتب التعليم بطبرجل,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.783333,2139
الثانوية الأولى بالنقيرة - مقررات,الشرقية,الإدارة العامة للتعليم بالمنطقة الشرقية,مكتب التعليم بمحافظة النعيرية,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.738095,2140
الثانوية الاولى بمنيفه - مقررات,الرياض,إدارة التعليم بمحافظة عفيف,مركز أشراف محافظة عفيف,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.730769,2141
ثانوية الزيتة الأولى بحقل - مقررات,تبوك,الإدارة العامة للتعليم بمنطقة تبوك,مركز اشراف حقل,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.708333,2142
الثانوية الأولى بالعقيله - مقررات,الجوف,إدارة التعليم بمحافظة القريات,القريات,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.7,2143
خريمان الشغار الثانوية,الرياض,إدارة التعليم بمحافظة الدوادمي,مكتب التعليم بنفي,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.692307,2144
الثانوية الأولى بالطرفية الغربية - مقررات,القصيم,الإدارة العامة للتعليم بمنطقة القصيم,مكتب التعليم في محافظة عقلة الصقور,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.647058,2145
حليمة السعدية الثانوية - مقررات,مكة المكرمة,إدارة التعليم بمحافظة الليث,ادارة الليث,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.646341,2146
ثانوية الدابيه - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الحائط,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.575757,2147
ثانوية شعبة نصاب-بنات - مقررات,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,مكتب التعليم بمحافظة رفحاء,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.56338,2148
ثانوية ضرغط - مقررات,حائل,الإدارة العامة للتعليم بمنطقة حائل,الشملي,حكومي,تعليم عام بنات,بنات,قدرات,علمي,58.519607,2149
ثانوية تعليم الكبيرات في جازان - مقررات,جازان,الإدارة العامة للتعليم بمنطقة جازان,مكتب التعليم بوسط جازان,حكومي,تعليم الكبار بنات,بنات,قدرات,علمي,58.352941,2150
